AddressLine1,Birth Date,Color,Commute Distance,Date First Purchase,English Description,English Education,English Occupation,English Product Name,English Promotion Category,English Promotion Name,English Promotion Type,Marital Status,Model Name,OrderDate,Product Alternate Key,Product Line,Product Subcategory Key,ProductKey,ShipDate,Size,Size Range,Size Unit Measure Code,Spanish Education,Spanish Occupation,Spanish Product Name,Spanish Promotion Category,Spanish Promotion Name,Spanish Promotion Type,Start Date,StartDate (DimPromotion),Days To Manufacture,Dealer Price,Discount Pct,DiscountAmount,ExtendedAmount,Freight,List Price,Max Qty,Min Qty,Number Cars Owned,Number Children At Home,Número de registros,OrderQuantity,ProductStandardCost,Reorder Point,Safety Stock Level,SalesAmount,SalesOrderLineNumber,Standard Cost,TaxAmt,Total Children,TotalProductCost,UnitPrice,UnitPriceDiscountPct,Weight,Yearly Income
3632 Ramsay Circle,23/03/1983,Yellow,0-1 Miles,18/01/2013,Short sleeve classic breathable jersey with superior moisture control  front zipper  and 3 back pockets.,Graduate Degree,Skilled Manual,Short-Sleeve Classic Jersey  S,No Discount,No Discount,No Discount,S,Short-Sleeve Classic Jersey,18/01/2013 12:00:00 a.m.,SJ-0194-S,S,21,488,25/01/2013 12:00:00 a.m.,S,S,,Estudios de postgrado,Obrero especializado,Jersey clásico de manga corta  P,Sin descuento,Sin descuento,Sin descuento,1/07/2013 12:00:00 a.m.,29/11/2010 12:00:00 a.m.,0,32.394,0.00,0,53.9900,1.3498,53.9900,,0,0,0,1,1,41.5723,3,4,53.99,2,41.5723,4.3192,0,41.5723,53.99,0,,80000
3632 Ramsay Circle,23/03/1983,Yellow,0-1 Miles,18/01/2013,Same technology as all of our Road series bikes  but the frame is sized for a woman.  Perfect all-around bike for road or racing.,Graduate Degree,Skilled Manual,Road-550-W Yellow  40,No Discount,No Discount,No Discount,S,Road-550-W,18/01/2013 12:00:00 a.m.,BK-R64Y-40,R,2,384,25/01/2013 12:00:00 a.m.,40,38-40 CM,CM,Estudios de postgrado,Obrero especializado,Carretera: 550 para mujer  amarilla  40,Sin descuento,Sin descuento,Sin descuento,1/07/2013 12:00:00 a.m.,29/11/2010 12:00:00 a.m.,4,672.294,0.00,0,1120.4900,28.0123,1120.4900,,0,0,0,1,1,713.0798,75,100,1120.49,1,713.0798,89.6392,0,713.0798,1120.49,0,17.77,80000
2802 Clay Way,18/10/1949,Red,0-1 Miles,19/01/2013,Universal fit  well-vented  lightweight   snap-on visor.,Bachelors,Management,Sport-100 Helmet  Red,No Discount,No Discount,No Discount,S,Sport-100,19/01/2013 12:00:00 a.m.,HL-U509-R,S,31,214,26/01/2013 12:00:00 a.m.,,NA,,Licenciatura,Gestión,Casco deportivo: 100  rojo,Sin descuento,Sin descuento,Sin descuento,1/07/2013 12:00:00 a.m.,29/11/2010 12:00:00 a.m.,0,20.994,0.00,0,34.9900,0.8748,34.9900,,0,2,4,1,1,13.0863,3,4,34.99,2,13.0863,2.7992,3,13.0863,34.99,0,,170000
2802 Clay Way,18/10/1949,Black,0-1 Miles,19/01/2013,Alluminum-alloy frame provides a light  stiff ride  whether you are racing in the velodrome or on a demanding club ride on country roads.,Bachelors,Management,Road-250 Black  48,No Discount,No Discount,No Discount,S,Road-250,19/01/2013 12:00:00 a.m.,BK-R89B-48,R,2,376,26/01/2013 12:00:00 a.m.,48,48-52 CM,CM,Licenciatura,Gestión,Carretera: 250  negra  48,Sin descuento,Sin descuento,Sin descuento,1/07/2013 12:00:00 a.m.,29/11/2010 12:00:00 a.m.,4,1466.010,0.00,0,2443.3500,61.0838,2443.3500,,0,2,4,1,1,1554.9479,75,100,2443.35,1,1554.9479,195.4680,3,1554.9479,2443.35,0,15.13,170000
4371 Erie Dr.,16/08/1977,Yellow,0-1 Miles,19/01/2013,Same technology as all of our Road series bikes  but the frame is sized for a woman.  Perfect all-around bike for road or racing.,Bachelors,Professional,Road-550-W Yellow  44,No Discount,No Discount,No Discount,S,Road-550-W,19/01/2013 12:00:00 a.m.,BK-R64Y-44,R,2,388,26/01/2013 12:00:00 a.m.,44,42-46 CM,CM,Licenciatura,Profesional,Carretera: 550 para mujer  amarilla  44,Sin descuento,Sin descuento,Sin descuento,1/07/2013 12:00:00 a.m.,29/11/2010 12:00:00 a.m.,4,672.294,0.00,0,1120.4900,28.0123,1120.4900,,0,0,0,1,1,713.0798,75,100,1120.49,1,713.0798,89.6392,0,713.0798,1120.49,0,18.42,40000
5453 James Donlon Blvd.,5/10/1979,Blue,1-2 Miles,19/01/2013,Universal fit  well-vented  lightweight   snap-on visor.,Bachelors,Clerical,Sport-100 Helmet  Blue,No Discount,No Discount,No Discount,M,Sport-100,19/01/2013 12:00:00 a.m.,HL-U509-B,S,31,222,26/01/2013 12:00:00 a.m.,,NA,,Licenciatura,Administrativo,Casco deportivo: 100  azul,Sin descuento,Sin descuento,Sin descuento,1/07/2013 12:00:00 a.m.,29/11/2010 12:00:00 a.m.,0,20.994,0.00,0,34.9900,0.8748,34.9900,,0,0,0,1,1,13.0863,3,4,34.99,2,13.0863,2.7992,1,13.0863,34.99,0,,30000
5453 James Donlon Blvd.,5/10/1979,Multi,1-2 Miles,19/01/2013,"Traditional style with a flip-up brim, one-size fits all.",Bachelors,Clerical,AWC Logo Cap,No Discount,No Discount,No Discount,M,Cycling Cap,19/01/2013 12:00:00 a.m.,CA-1098,S,19,225,26/01/2013 12:00:00 a.m.,,NA,,Licenciatura,Administrativo,,Sin descuento,Sin descuento,Sin descuento,1/07/2013 12:00:00 a.m.,29/11/2010 12:00:00 a.m.,0,5.394,0.00,0,8.9900,0.2248,8.9900,,0,0,0,1,1,6.9223,3,4,8.99,3,6.9223,0.7192,1,6.9223,8.99,0,,30000
5453 James Donlon Blvd.,5/10/1979,Yellow,1-2 Miles,19/01/2013,Same technology as all of our Road series bikes  but the frame is sized for a woman.  Perfect all-around bike for road or racing.,Bachelors,Clerical,Road-550-W Yellow  44,No Discount,No Discount,No Discount,M,Road-550-W,19/01/2013 12:00:00 a.m.,BK-R64Y-44,R,2,388,26/01/2013 12:00:00 a.m.,44,42-46 CM,CM,Licenciatura,Administrativo,Carretera: 550 para mujer  amarilla  44,Sin descuento,Sin descuento,Sin descuento,1/07/2013 12:00:00 a.m.,29/11/2010 12:00:00 a.m.,4,672.294,0.00,0,1120.4900,28.0123,1120.4900,,0,0,0,1,1,713.0798,75,100,1120.49,1,713.0798,89.6392,1,713.0798,1120.49,0,18.42,30000
5004 Mazatlan,8/08/1971,NA,0-1 Miles,20/01/2013,"Aluminum cage is lighter than our mountain version, perfect for long distance trips.",High School,Management,Road Bottle Cage,No Discount,No Discount,No Discount,S,Road Bottle Cage,20/01/2013 12:00:00 a.m.,BC-R205,R,28,479,27/01/2013 12:00:00 a.m.,,NA,,Educación secundaria,Gestión,Portabotellas de carretera,Sin descuento,Sin descuento,Sin descuento,1/07/2013 12:00:00 a.m.,29/11/2010 12:00:00 a.m.,0,5.394,0.00,0,8.9900,0.2248,8.9900,,0,4,5,1,1,3.3623,3,4,8.99,3,3.3623,0.7192,4,3.3623,8.99,0,,160000
5004 Mazatlan,8/08/1971,NA,0-1 Miles,20/01/2013,"AWC logo water bottle - holds 30 oz, leak-proof.",High School,Management,Water Bottle - 30 oz.,No Discount,No Discount,No Discount,S,Water Bottle,20/01/2013 12:00:00 a.m.,WB-H098,S,28,477,27/01/2013 12:00:00 a.m.,,NA,,Educación secundaria,Gestión,,Sin descuento,Sin descuento,Sin descuento,1/07/2013 12:00:00 a.m.,29/11/2010 12:00:00 a.m.,0,2.994,0.00,0,4.9900,0.1248,4.9900,,0,4,5,1,1,1.8663,3,4,4.99,2,1.8663,0.3992,4,1.8663,4.99,0,,160000
5004 Mazatlan,8/08/1971,Red,0-1 Miles,20/01/2013,Universal fit  well-vented  lightweight   snap-on visor.,High School,Management,Sport-100 Helmet  Red,No Discount,No Discount,No Discount,S,Sport-100,20/01/2013 12:00:00 a.m.,HL-U509-R,S,31,214,27/01/2013 12:00:00 a.m.,,NA,,Educación secundaria,Gestión,Casco deportivo: 100  rojo,Sin descuento,Sin descuento,Sin descuento,1/07/2013 12:00:00 a.m.,29/11/2010 12:00:00 a.m.,0,20.994,0.00,0,34.9900,0.8748,34.9900,,0,4,5,1,1,13.0863,3,4,34.99,4,13.0863,2.7992,4,13.0863,34.99,0,,160000
5004 Mazatlan,8/08/1971,Red,0-1 Miles,20/01/2013,Alluminum-alloy frame provides a light  stiff ride  whether you are racing in the velodrome or on a demanding club ride on country roads.,High School,Management,Road-250 Red  58,No Discount,No Discount,No Discount,S,Road-250,20/01/2013 12:00:00 a.m.,BK-R89R-58,R,2,372,27/01/2013 12:00:00 a.m.,58,54-58 CM,CM,Educación secundaria,Gestión,Carretera: 250  roja  58,Sin descuento,Sin descuento,Sin descuento,1/07/2013 12:00:00 a.m.,29/11/2010 12:00:00 a.m.,4,1466.010,0.00,0,2443.3500,61.0838,2443.3500,,0,4,5,1,1,1554.9479,75,100,2443.35,1,1554.9479,195.4680,4,1554.9479,2443.35,0,15.79,160000
9222 Roseann Drive,31/01/1958,Black,2-5 Miles,22/01/2013,"Entry level adult bike, offers a comfortable ride cross-country or down the block. Quick-release hubs and rims.",Partial College,Manual,Road-750 Black  58,No Discount,No Discount,No Discount,S,Road-750,22/01/2013 12:00:00 a.m.,BK-R19B-58,R,2,584,29/01/2013 12:00:00 a.m.,58,54-58 CM,CM,Estudios universitarios (en curso),Obrero,Carretera: 750  negra  58,Sin descuento,Sin descuento,Sin descuento,1/07/2013 12:00:00 a.m.,29/11/2010 12:00:00 a.m.,4,323.994,0.00,0,539.9900,13.4998,539.9900,,0,1,0,1,1,343.6496,75,100,539.99,1,343.6496,43.1992,2,343.6496,539.99,0,20.79,20000
6288 Augustine Dr.,28/10/1976,Multi,0-1 Miles,22/01/2013,"Traditional style with a flip-up brim, one-size fits all.",Bachelors,Skilled Manual,AWC Logo Cap,No Discount,No Discount,No Discount,M,Cycling Cap,22/01/2013 12:00:00 a.m.,CA-1098,S,19,225,29/01/2013 12:00:00 a.m.,,NA,,Licenciatura,Obrero especializado,,Sin descuento,Sin descuento,Sin descuento,1/07/2013 12:00:00 a.m.,29/11/2010 12:00:00 a.m.,0,5.394,0.00,0,8.9900,0.2248,8.9900,,0,0,0,1,1,6.9223,3,4,8.99,2,6.9223,0.7192,1,6.9223,8.99,0,,40000
6288 Augustine Dr.,28/10/1976,Blue,0-1 Miles,22/01/2013,The plush custom saddle keeps you riding all day   and there's plenty of space to add panniers and bike bags to the newly-redesigned carrier.  This bike has stability when fully-loaded.,Bachelors,Skilled Manual,Touring-2000 Blue  54,No Discount,No Discount,No Discount,M,Touring-2000,22/01/2013 12:00:00 a.m.,BK-T44U-54,T,3,579,29/01/2013 12:00:00 a.m.,54,54-58 CM,CM,Licenciatura,Obrero especializado,Paseo: 2000  azul  54,Sin descuento,Sin descuento,Sin descuento,1/07/2013 12:00:00 a.m.,29/11/2010 12:00:00 a.m.,4,728.910,0.00,0,1214.8500,30.3713,1214.8500,,0,0,0,1,1,755.1508,75,100,1214.85,1,755.1508,97.1880,1,755.1508,1214.85,0,27.68,40000
6928 Woodland Drive,20/07/1955,Red,0-1 Miles,24/01/2013,Universal fit  well-vented  lightweight   snap-on visor.,Bachelors,Management,Sport-100 Helmet  Red,No Discount,No Discount,No Discount,S,Sport-100,24/01/2013 12:00:00 a.m.,HL-U509-R,S,31,214,31/01/2013 12:00:00 a.m.,,NA,,Licenciatura,Gestión,Casco deportivo: 100  rojo,Sin descuento,Sin descuento,Sin descuento,1/07/2013 12:00:00 a.m.,29/11/2010 12:00:00 a.m.,0,20.994,0.00,0,34.9900,0.8748,34.9900,,0,3,5,1,1,13.0863,3,4,34.99,3,13.0863,2.7992,4,13.0863,34.99,0,,150000
6928 Woodland Drive,20/07/1955,Multi,0-1 Miles,24/01/2013,"Traditional style with a flip-up brim, one-size fits all.",Bachelors,Management,AWC Logo Cap,No Discount,No Discount,No Discount,S,Cycling Cap,24/01/2013 12:00:00 a.m.,CA-1098,S,19,225,31/01/2013 12:00:00 a.m.,,NA,,Licenciatura,Gestión,,Sin descuento,Sin descuento,Sin descuento,1/07/2013 12:00:00 a.m.,29/11/2010 12:00:00 a.m.,0,5.394,0.00,0,8.9900,0.2248,8.9900,,0,3,5,1,1,6.9223,3,4,8.99,2,6.9223,0.7192,4,6.9223,8.99,0,,150000
6928 Woodland Drive,20/07/1955,Red,0-1 Miles,24/01/2013,Alluminum-alloy frame provides a light  stiff ride  whether you are racing in the velodrome or on a demanding club ride on country roads.,Bachelors,Management,Road-250 Red  58,No Discount,No Discount,No Discount,S,Road-250,24/01/2013 12:00:00 a.m.,BK-R89R-58,R,2,372,31/01/2013 12:00:00 a.m.,58,54-58 CM,CM,Licenciatura,Gestión,Carretera: 250  roja  58,Sin descuento,Sin descuento,Sin descuento,1/07/2013 12:00:00 a.m.,29/11/2010 12:00:00 a.m.,4,1466.010,0.00,0,2443.3500,61.0838,2443.3500,,0,3,5,1,1,1554.9479,75,100,2443.35,1,1554.9479,195.4680,4,1554.9479,2443.35,0,15.79,150000
4660 Cape Cod Way,13/08/1968,NA,0-1 Miles,27/01/2013,Conventional all-purpose tube.,Partial College,Professional,Road Tire Tube,No Discount,No Discount,No Discount,S,Road Tire Tube,27/01/2013 12:00:00 a.m.,TT-R982,R,37,529,3/02/2013 12:00:00 a.m.,,NA,,Estudios universitarios (en curso),Profesional,Cubierta para cámara de carretera,Sin descuento,Sin descuento,Sin descuento,1/07/2013 12:00:00 a.m.,29/11/2010 12:00:00 a.m.,0,2.394,0.00,0,3.9900,0.0998,3.9900,,0,3,3,1,1,1.4923,375,500,3.99,2,1.4923,0.3192,1,1.4923,3.99,0,,150000
4660 Cape Cod Way,13/08/1968,NA,0-1 Miles,27/01/2013,Includes 8 different size patches  glue and sandpaper.,Partial College,Professional,Patch Kit/8 Patches,No Discount,No Discount,No Discount,S,Patch kit,27/01/2013 12:00:00 a.m.,PK-7098,S,37,480,3/02/2013 12:00:00 a.m.,,NA,,Estudios universitarios (en curso),Profesional,,Sin descuento,Sin descuento,Sin descuento,1/07/2013 12:00:00 a.m.,29/11/2010 12:00:00 a.m.,0,1.374,0.00,0,2.2900,0.0573,2.2900,,0,3,3,1,1,0.8565,3,4,2.29,4,0.8565,0.1832,1,0.8565,2.29,0,,150000
4660 Cape Cod Way,13/08/1968,NA,0-1 Miles,27/01/2013,Lightweight carbon reinforced  for an unrivaled ride at an un-compromised weight.,Partial College,Professional,HL Road Tire,No Discount,No Discount,No Discount,S,HL Road Tire,27/01/2013 12:00:00 a.m.,TI-R982,R,37,540,3/02/2013 12:00:00 a.m.,,NA,,Estudios universitarios (en curso),Profesional,Cubierta de carretera GA,Sin descuento,Sin descuento,Sin descuento,1/07/2013 12:00:00 a.m.,29/11/2010 12:00:00 a.m.,0,19.560,0.00,0,32.6000,0.8150,32.6000,,0,3,3,1,1,12.1924,375,500,32.6,3,12.1924,2.6080,1,12.1924,32.60,0,,150000
4660 Cape Cod Way,13/08/1968,Black,0-1 Miles,27/01/2013,Alluminum-alloy frame provides a light  stiff ride  whether you are racing in the velodrome or on a demanding club ride on country roads.,Partial College,Professional,Road-250 Black  44,No Discount,No Discount,No Discount,S,Road-250,27/01/2013 12:00:00 a.m.,BK-R89B-44,R,2,374,3/02/2013 12:00:00 a.m.,44,42-46 CM,CM,Estudios universitarios (en curso),Profesional,Carretera: 250  negra  44,Sin descuento,Sin descuento,Sin descuento,1/07/2013 12:00:00 a.m.,29/11/2010 12:00:00 a.m.,4,1466.010,0.00,0,2443.3500,61.0838,2443.3500,,0,3,3,1,1,1554.9479,75,100,2443.35,1,1554.9479,195.4680,1,1554.9479,2443.35,0,14.77,150000
3228 Pembroke Dr,22/01/1977,NA,0-1 Miles,28/01/2013,Conventional all-purpose tube.,Partial High School,Manual,Road Tire Tube,No Discount,No Discount,No Discount,S,Road Tire Tube,28/01/2013 12:00:00 a.m.,TT-R982,R,37,529,4/02/2013 12:00:00 a.m.,,NA,,Educación secundaria (en curso),Obrero,Cubierta para cámara de carretera,Sin descuento,Sin descuento,Sin descuento,1/07/2013 12:00:00 a.m.,29/11/2010 12:00:00 a.m.,0,2.394,0.00,0,3.9900,0.0998,3.9900,,0,2,0,1,1,1.4923,375,500,3.99,2,1.4923,0.3192,0,1.4923,3.99,0,,10000
3228 Pembroke Dr,22/01/1977,NA,0-1 Miles,28/01/2013,Same great treads as more expensive tire with a less expensive wire bead casing.,Partial High School,Manual,LL Road Tire,No Discount,No Discount,No Discount,S,LL Road Tire,28/01/2013 12:00:00 a.m.,TI-R092,R,37,538,4/02/2013 12:00:00 a.m.,,NA,,Educación secundaria (en curso),Obrero,Cubierta de carretera GB,Sin descuento,Sin descuento,Sin descuento,1/07/2013 12:00:00 a.m.,29/11/2010 12:00:00 a.m.,0,12.894,0.00,0,21.4900,0.5373,21.4900,,0,2,0,1,1,8.0373,375,500,21.49,1,8.0373,1.7192,0,8.0373,21.49,0,,10000
5444 Flamingo Dr.,2/12/1983,NA,2-5 Miles,28/01/2013,General purpose tube.,High School,Manual,Touring Tire Tube,No Discount,No Discount,No Discount,S,Touring Tire Tube,28/01/2013 12:00:00 a.m.,TT-T092,T,37,530,4/02/2013 12:00:00 a.m.,,NA,,Educación secundaria,Obrero,Cubierta para cámara de paseo,Sin descuento,Sin descuento,Sin descuento,1/07/2013 12:00:00 a.m.,29/11/2010 12:00:00 a.m.,0,2.994,0.00,0,4.9900,0.1248,4.9900,,0,1,0,1,1,1.8663,375,500,4.99,1,1.8663,0.3992,0,1.8663,4.99,0,,30000
5444 Flamingo Dr.,2/12/1983,Black,2-5 Miles,28/01/2013,Full padding  improved finger flex  durable palm  adjustable closure.,High School,Manual,Half-Finger Gloves  S,No Discount,No Discount,No Discount,S,Half-Finger Gloves,28/01/2013 12:00:00 a.m.,GL-H102-S,S,20,463,4/02/2013 12:00:00 a.m.,S,S,,Educación secundaria,Obrero,,Sin descuento,Sin descuento,Sin descuento,1/07/2013 12:00:00 a.m.,29/11/2010 12:00:00 a.m.,0,14.694,0.00,0,24.4900,0.6123,24.4900,,0,1,0,1,1,9.1593,3,4,24.49,2,9.1593,1.9592,0,9.1593,24.49,0,,30000
3228 Pembroke Dr,22/01/1977,Multi,0-1 Miles,28/01/2013,Unisex long-sleeve AWC logo microfiber cycling jersey,Partial High School,Manual,Long-Sleeve Logo Jersey  M,No Discount,No Discount,No Discount,S,Long-Sleeve Logo Jersey,15/03/2013 12:00:00 a.m.,LJ-0192-M,S,21,231,22/03/2013 12:00:00 a.m.,M,M,,Educación secundaria (en curso),Obrero,Jersey con logotipo de manga larga  M,Sin descuento,Sin descuento,Sin descuento,1/07/2013 12:00:00 a.m.,29/11/2010 12:00:00 a.m.,0,29.994,0.00,0,49.9900,1.2498,49.9900,,0,2,0,1,1,38.4923,3,4,49.99,1,38.4923,3.9992,0,38.4923,49.99,0,,10000
5444 Flamingo Dr.,2/12/1983,NA,2-5 Miles,28/01/2013,Clip-on fenders fit most mountain bikes.,High School,Manual,Fender Set - Mountain,No Discount,No Discount,No Discount,S,Fender Set - Mountain,28/04/2013 12:00:00 a.m.,FE-6654,M,30,485,5/05/2013 12:00:00 a.m.,,NA,,Educación secundaria,Obrero,Conjunto de guardabarros: montaña,Sin descuento,Sin descuento,Sin descuento,1/07/2013 12:00:00 a.m.,29/11/2010 12:00:00 a.m.,0,13.188,0.00,0,21.9800,0.5495,21.9800,,0,1,0,1,1,8.2205,3,4,21.98,1,8.2205,1.7584,0,8.2205,21.98,0,,30000
5444 Flamingo Dr.,2/12/1983,Multi,2-5 Miles,28/01/2013,Unisex long-sleeve AWC logo microfiber cycling jersey,High School,Manual,Long-Sleeve Logo Jersey  L,No Discount,No Discount,No Discount,S,Long-Sleeve Logo Jersey,28/04/2013 12:00:00 a.m.,LJ-0192-L,S,21,234,5/05/2013 12:00:00 a.m.,L,L,,Educación secundaria,Obrero,Jersey con logotipo de manga larga  G,Sin descuento,Sin descuento,Sin descuento,1/07/2013 12:00:00 a.m.,29/11/2010 12:00:00 a.m.,0,29.994,0.00,0,49.9900,1.2498,49.9900,,0,1,0,1,1,38.4923,3,4,49.99,2,38.4923,3.9992,0,38.4923,49.99,0,,30000
447 Power Ave,29/09/1951,NA,5-10 Miles,29/01/2013,Clip-on fenders fit most mountain bikes.,Graduate Degree,Management,Fender Set - Mountain,No Discount,No Discount,No Discount,M,Fender Set - Mountain,29/01/2013 12:00:00 a.m.,FE-6654,M,30,485,5/02/2013 12:00:00 a.m.,,NA,,Estudios de postgrado,Gestión,Conjunto de guardabarros: montaña,Sin descuento,Sin descuento,Sin descuento,1/07/2013 12:00:00 a.m.,29/11/2010 12:00:00 a.m.,0,13.188,0.00,0,21.9800,0.5495,21.9800,,0,4,4,1,1,8.2205,3,4,21.98,3,8.2205,1.7584,3,8.2205,21.98,0,,150000
447 Power Ave,29/09/1951,NA,5-10 Miles,29/01/2013,Self-sealing tube.,Graduate Degree,Management,Mountain Tire Tube,No Discount,No Discount,No Discount,M,Mountain Tire Tube,29/01/2013 12:00:00 a.m.,TT-M928,M,37,528,5/02/2013 12:00:00 a.m.,,NA,,Estudios de postgrado,Gestión,Cubierta para cámara de montaña,Sin descuento,Sin descuento,Sin descuento,1/07/2013 12:00:00 a.m.,29/11/2010 12:00:00 a.m.,0,2.994,0.00,0,4.9900,0.1248,4.9900,,0,4,4,1,1,1.8663,375,500,4.99,2,1.8663,0.3992,3,1.8663,4.99,0,,150000
447 Power Ave,29/09/1951,NA,5-10 Miles,29/01/2013,Great traction  high-density rubber.,Graduate Degree,Management,ML Mountain Tire,No Discount,No Discount,No Discount,M,ML Mountain Tire,29/01/2013 12:00:00 a.m.,TI-M602,M,37,536,5/02/2013 12:00:00 a.m.,,NA,,Estudios de postgrado,Gestión,Cubierta de montaña GM,Sin descuento,Sin descuento,Sin descuento,1/07/2013 12:00:00 a.m.,29/11/2010 12:00:00 a.m.,0,17.994,0.00,0,29.9900,0.7498,29.9900,,0,4,4,1,1,11.2163,375,500,29.99,1,11.2163,2.3992,3,11.2163,29.99,0,,150000
4060 Roundtree Court,21/03/1952,Red,0-1 Miles,29/01/2013,Universal fit  well-vented  lightweight   snap-on visor.,Partial College,Professional,Sport-100 Helmet  Red,No Discount,No Discount,No Discount,M,Sport-100,29/01/2013 12:00:00 a.m.,HL-U509-R,S,31,214,5/02/2013 12:00:00 a.m.,,NA,,Estudios universitarios (en curso),Profesional,Casco deportivo: 100  rojo,Sin descuento,Sin descuento,Sin descuento,1/07/2013 12:00:00 a.m.,29/11/2010 12:00:00 a.m.,0,20.994,0.00,0,34.9900,0.8748,34.9900,,0,4,4,1,1,13.0863,3,4,34.99,3,13.0863,2.7992,4,13.0863,34.99,0,,130000
4060 Roundtree Court,21/03/1952,NA,0-1 Miles,29/01/2013,High-density rubber.,Partial College,Professional,Touring Tire,No Discount,No Discount,No Discount,M,Touring Tire,29/01/2013 12:00:00 a.m.,TI-T723,T,37,541,5/02/2013 12:00:00 a.m.,,NA,,Estudios universitarios (en curso),Profesional,Cubierta de paseo,Sin descuento,Sin descuento,Sin descuento,1/07/2013 12:00:00 a.m.,29/11/2010 12:00:00 a.m.,0,17.394,0.00,0,28.9900,0.7248,28.9900,,0,4,4,1,1,10.8423,375,500,28.99,2,10.8423,2.3192,4,10.8423,28.99,0,,130000
4060 Roundtree Court,21/03/1952,NA,0-1 Miles,29/01/2013,General purpose tube.,Partial College,Professional,Touring Tire Tube,No Discount,No Discount,No Discount,M,Touring Tire Tube,29/01/2013 12:00:00 a.m.,TT-T092,T,37,530,5/02/2013 12:00:00 a.m.,,NA,,Estudios universitarios (en curso),Profesional,Cubierta para cámara de paseo,Sin descuento,Sin descuento,Sin descuento,1/07/2013 12:00:00 a.m.,29/11/2010 12:00:00 a.m.,0,2.994,0.00,0,4.9900,0.1248,4.9900,,0,4,4,1,1,1.8663,375,500,4.99,1,1.8663,0.3992,4,1.8663,4.99,0,,130000
3566 Matterhorn Ct,18/12/1967,Black,2-5 Miles,29/01/2013,Universal fit  well-vented  lightweight   snap-on visor.,Partial College,Clerical,Sport-100 Helmet  Black,No Discount,No Discount,No Discount,S,Sport-100,29/01/2013 12:00:00 a.m.,HL-U509,S,31,217,5/02/2013 12:00:00 a.m.,,NA,,Estudios universitarios (en curso),Administrativo,Casco deportivo: 100  negro,Sin descuento,Sin descuento,Sin descuento,1/07/2013 12:00:00 a.m.,29/11/2010 12:00:00 a.m.,0,20.994,0.00,0,34.9900,0.8748,34.9900,,0,1,0,1,1,13.0863,3,4,34.99,2,13.0863,2.7992,1,13.0863,34.99,0,,30000
3566 Matterhorn Ct,18/12/1967,NA,2-5 Miles,29/01/2013,"AWC logo water bottle - holds 30 oz, leak-proof.",Partial College,Clerical,Water Bottle - 30 oz.,No Discount,No Discount,No Discount,S,Water Bottle,29/01/2013 12:00:00 a.m.,WB-H098,S,28,477,5/02/2013 12:00:00 a.m.,,NA,,Estudios universitarios (en curso),Administrativo,,Sin descuento,Sin descuento,Sin descuento,1/07/2013 12:00:00 a.m.,29/11/2010 12:00:00 a.m.,0,2.994,0.00,0,4.9900,0.1248,4.9900,,0,1,0,1,1,1.8663,3,4,4.99,1,1.8663,0.3992,1,1.8663,4.99,0,,30000
4060 Roundtree Court,21/03/1952,Multi,0-1 Miles,29/01/2013,"Traditional style with a flip-up brim, one-size fits all.",Partial College,Professional,AWC Logo Cap,No Discount,No Discount,No Discount,M,Cycling Cap,28/08/2013 12:00:00 a.m.,CA-1098,S,19,225,4/09/2013 12:00:00 a.m.,,NA,,Estudios universitarios (en curso),Profesional,,Sin descuento,Sin descuento,Sin descuento,1/07/2013 12:00:00 a.m.,29/11/2010 12:00:00 a.m.,0,5.394,0.00,0,8.9900,0.2248,8.9900,,0,4,4,1,1,6.9223,3,4,8.99,1,6.9223,0.7192,4,6.9223,8.99,0,,130000
4021 Raymond Dr,14/09/1956,NA,10+ Miles,30/01/2013,"AWC logo water bottle - holds 30 oz, leak-proof.",High School,Professional,Water Bottle - 30 oz.,No Discount,No Discount,No Discount,S,Water Bottle,30/01/2013 12:00:00 a.m.,WB-H098,S,28,477,6/02/2013 12:00:00 a.m.,,NA,,Educación secundaria,Profesional,,Sin descuento,Sin descuento,Sin descuento,1/07/2013 12:00:00 a.m.,29/11/2010 12:00:00 a.m.,0,2.994,0.00,0,4.9900,0.1248,4.9900,,0,3,5,1,1,1.8663,3,4,4.99,1,1.8663,0.3992,4,1.8663,4.99,0,,130000
4021 Raymond Dr,14/09/1956,Multi,10+ Miles,30/01/2013,"Traditional style with a flip-up brim, one-size fits all.",High School,Professional,AWC Logo Cap,No Discount,No Discount,No Discount,S,Cycling Cap,30/01/2013 12:00:00 a.m.,CA-1098,S,19,225,6/02/2013 12:00:00 a.m.,,NA,,Educación secundaria,Profesional,,Sin descuento,Sin descuento,Sin descuento,1/07/2013 12:00:00 a.m.,29/11/2010 12:00:00 a.m.,0,5.394,0.00,0,8.9900,0.2248,8.9900,,0,3,5,1,1,6.9223,3,4,8.99,2,6.9223,0.7192,4,6.9223,8.99,0,,130000
